S/N,Station ID,Current Station Name ,Previous Station Name,Latitude,Longitude,Current Observations,,,,,Ultraviolet Index (UVI),Heat Stress,Historical Daily Records,Station Closed 
,,,,,,Rainfall,Temperature,Relative Humidity,Wind,Visibility,,,,
1,S07,Macritchie Reservoir,-,1.341782,103.833873,1,0,0,0,0,0,0,1,0
2,S08,Lower Peirce Reservoir,-,1.370034,103.827037,1,0,0,0,0,0,0,1,0
3,S11,Jalan Bahar,Choa Chu Kang (West),1.374500,103.693800,0,0,0,0,0,0,0,1,1
4,S24,Changi Meteorological Station,Changi,1.367800,103.982300,1,1,1,1,1,1,0,1,0
5,S29,Pasir Ris Road,Pasir Ris (West),1.386500,103.941300,0,0,0,0,0,0,0,1,1
6,S31,Kampong Bahru Road,Kampong Bahru,1.274800,103.828200,0,0,0,0,0,0,0,1,1
7,S33,Jurong Pier Road,Jurong Pier,1.308200,103.710000,1,0,0,0,0,0,0,1,0
8,S35,Old Toh Tuck Road,Ulu Pandan,1.332500,103.755000,1,0,0,0,0,0,0,1,0
9,S36,Upper Serangoon Road,Serangoon,1.337650,103.866150,0,0,0,0,0,0,0,1,1
10,S39,Jalan Ahmad Ibrahim,Jurong (East),1.325170,103.736750,0,0,0,0,0,0,0,1,1
11,S40,Mandai Lake Road,Mandai,1.403511,103.789647,1,0,0,0,0,0,0,1,0
12,S43,Kim Chuan Road,Tai Seng,1.340583,103.888138,1,1,1,1,0,0,0,1,0
13,S44,Nanyang Avenue,Jurong (West),1.345630,103.680669,1,1,1,1,0,0,0,1,0
14,S46,Sime Road,Upper Thomson,1.341550,103.810780,0,0,0,0,0,0,0,1,1
15,S50,Clementi Road,Clementi,1.331800,103.776200,1,1,1,1,0,0,0,1,0
16,S55,Buangkok Green,Buangkok,1.383600,103.886000,0,0,0,0,0,0,0,1,1
17,S60,Artillery Avenue (Sentosa),Sentosa Island,1.250429,103.827494,1,1,1,1,0,0,0,1,0
18,S61,Chai Chee Street,Chai Chee,1.327100,103.920650,0,0,0,0,0,0,0,1,1
